FISCAL YEAR,CATEGORY,NO. OF INDUSTRY,TOTAL CAPITAL (In Million Rupees),FIXED CAPITAL (In Million Rupees),WORKING CAPITAL (In Million Rupees),EMPLOYMENT (In Number)
2067/68,MINERAL,4,99.6,88.1,11.5,426
2067/68,SERVICE,81,11798.46,2315.1,9483.37,3016
2067/68,TOURISM,48,2750.14,2595.04,155.11,1796
2067/68,2067/68 TOTAL,242,90415.58,77913.17,12502.4,13727
2068/69,AGRO AND FORESTRY BASED,12,161.2,142.7,18.5,396
2068/69,CONSTRUCTION,2,490,456,34,176
2068/69,ENERGY BASED,33,55014.91,53263.61,1751.3,1816
2068/69,MANUFACTURING,59,17189.88,14780.78,2409.09,6527
2068/69,MINERAL,7,164,129.14,34.86,607
2068/69,SERVICE,105,9596.7,8940.72,655.98,5530
2068/69,TOURISM,61,1810.71,1648.91,161.69,1908
2068/69,2068/69 TOTAL,279,84427.39,79361.86,5065.42,16960
2069/70,AGRO AND FORESTRY BASED,54,1992.25,1588.79,403.47,2204
2069/70,ENERGY BASED,70,86537.52,84286.59,2250.93,5105
2069/70,MANUFACTURING,114,13331.73,10350,2981.66,9678
2069/70,MINERAL,10,267.16,238.52,28.64,833
2069/70,SERVICE,95,10321.28,4925.22,5396.06,5911
2069/70,TOURISM,103,7151.19,6594.08,557.11,4804
2069/70,2069/70 TOTAL,446,119601.13,107983.2,11617.86,28535
2070/71,AGRO AND FORESTRY BASED,46,1566.68,1299.41,267.27,1627
2070/71,CONSTRUCTION,1,35000,34750,250,100
2070/71,ENERGY BASED,42,222158.24,217248.4,4909.82,4657
2070/71,MANUFACTURING,96,18082.99,14542.48,3540.5,7966
2070/71,MINERAL,2,105,81,24,262
2070/71,SERVICE,99,5061.96,1790.76,3271.21,3584
2070/71,TOURISM,84,5832.77,5506.7,326.08,3252
2070/71,2070/71 TOTAL,370,287807.65,275218.7,12588.88,21448
2071/72,AGRO AND FORESTRY BASED,50,1513.9,1348.21,165.69,1596
2071/72,CONSTRUCTION,6,1223,919.55,303.46,324
2071/72,ENERGY BASED,29,83081.73,82381.08,700.64,2392
2071/72,MANUFACTURING,90,17393.13,13893.52,3499.61,6059
2071/72,MINERAL,7,251,223.5,27.5,680
2071/72,SERVICE,137,8073.16,5976.56,2096.6,4992
2071/72,TOURISM,147,27215.37,23860.4,3354.94,6742
2071/72,2071/72 TOTAL,466,138751.27,128602.8,10148.43,22785
2072/73,AGRO AND FORESTRY BASED,28,987.9,784.63,203.27,1038
2072/73,CONSTRUCTION,1,35,24.9,10.1,81
2072/73,ENERGY BASED,15,38344.89,38127.8,217.03,678
2072/73,MANUFACTURING,135,58664.97,51618.25,7046.72,8779
2072/73,SERVICE,118,11849.5,2853.81,8995.69,4399
2072/73,TOURISM,112,11124.95,10558.14,566.81,3785
2072/73,2072/73 TOTAL,409,121007,103967,17039,18760
2073/74,AGRO AND FORESTRY BASED,25,3261.6,2998,263.12,831
2073/74,CONSTRUCTION,3,1690,1287,403,172
2073/74,ENERGY BASED,19,82203.05,80280,1922.16,1679
2073/74,INFORMATION TECHNOLOGY,14,898.5,799.28,99.22,764
2073/74,MANUFACTURING,125,43963.88,33758,10205.21,10675
2073/74,MINERAL,3,81.7,57.9,23.8,130
2073/74,SERVICE,165,15853.56,12177,3675.64,7012
2073/74,TOURISM,154,14999.72,13547,1452.6,5215
2073/74,2073/74 TOTAL,508,162952.01,144907.26,18044.75,26478
,GRAND TOTAL,7031,1330108.63,1175840,154896.49,548105
